年,月,ユーザNo,ユーザ名,テーマＮｏ,テーマ名,内容コード,内容名,内容詳細コード,合計,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
2021, 6, BAOTQ, ユーザー　５, 11101-7650, 開発テーマ正式名称３, 20,概要設計,00, 8.0,0.0, 0.0, 0.0, 0.0,0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,0.0, 0.0, 0.0, 0.0, 0.0, 0.0,0.0, 0.0, 0.0,0.0,0.0, 0.0,0.0, 0.0, 0.0,0.0, 0.0, 8.0
2021, 6, BAOTQ, ユーザー　５, 11101-7650, 開発テーマ正式名称３, 20,客先面談・デモ・仕様打合せ,00, 8.0,0.0, 0.0, 0.0, 0.0,0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,0.0, 0.0, 0.0, 0.0, 0.0, 0.0,0.0, 0.0, 0.0,0.0,0.0, 0.0,0.0, 0.0, 0.0,0.0, 0.0, 8.0
2021, 6, BAOTQ, ユーザー　５, 21020-0030, baotq, 00,企画・営業,11, 168.0,0.0, 0.0, 0.0, 0.0,0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 8.0, 0.0, 8.0, 8.0,8.0, 8.0, 8.0, 8.0, 8.0, 8.0,8.0, 8.0, 8.0,8.0,8.0, 8.0,8.0, 8.0, 8.0,8.0, 8.0, 8.0
2021, 6, BAOTQ, ユーザー　５, 21020-0030, baotq, 00,SSE,11, 168.0,0.0, 0.0, 0.0, 0.0,0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 8.0, 0.0, 8.0, 8.0,8.0, 8.0, 8.0, 8.0, 8.0, 8.0,8.0, 8.0, 8.0,8.0,8.0, 8.0,8.0, 8.0, 8.0,8.0, 8.0, 8.0
2021, 6, BAOTQ, ユーザー　５, 21020-0030, baotq, 00,企画・営業,09, 8.0,0.0, 0.0, 0.0, 0.0,0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,0.0, 0.0, 0.0, 0.0, 0.0, 0.0,0.0, 0.0, 0.0,0.0,0.0, 0.0,0.0, 0.0, 0.0,0.0, 0.0, 8.0
2021, 6, BAOTQ, ユーザー　５, 21020-0030, baotq, 00,SSE,09, 8.0,0.0, 0.0, 0.0, 0.0,0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,0.0, 0.0, 0.0, 0.0, 0.0, 0.0,0.0, 0.0, 0.0,0.0,0.0, 0.0,0.0, 0.0, 0.0,0.0, 0.0, 8.0
2021, 6, BAOTQ, ユーザー　５, 21020-0030, baotq, 00,企画・営業,08, 8.0,0.0, 0.0, 0.0, 0.0,0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,0.0, 0.0, 0.0, 0.0, 0.0, 0.0,0.0, 0.0, 0.0,0.0,0.0, 0.0,0.0, 0.0, 0.0,0.0, 0.0, 8.0
2021, 6, BAOTQ, ユーザー　５, 21020-0030, baotq, 00,SSE,08, 8.0,0.0, 0.0, 0.0, 0.0,0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,0.0, 0.0, 0.0, 0.0, 0.0, 0.0,0.0, 0.0, 0.0,0.0,0.0, 0.0,0.0, 0.0, 0.0,0.0, 0.0, 8.0
2021, 6, BAOTQ, ユーザー　５, 11020-0001, 22, 20,概要設計,03, 70.0,8.0, 7.0, 7.0, 7.0,8.0, 8.0, 8.0, 8.0, 8.0, 0.0, 0.0, 0.0, 0.0, 0.0,0.0, 0.0, 0.0, 0.0, 0.0, 0.0,0.0, 0.0, 0.0,0.0,0.0, 0.0,0.0, 0.0, 0.0,0.0, 0.0, 8.0
2021, 6, BAOTQ, ユーザー　５, 11020-0001, 22, 20,客先面談・デモ・仕様打合せ,03, 70.0,8.0, 7.0, 7.0, 7.0,8.0, 8.0, 8.0, 8.0, 8.0, 0.0, 0.0, 0.0, 0.0, 0.0,0.0, 0.0, 0.0, 0.0, 0.0, 0.0,0.0, 0.0, 0.0,0.0,0.0, 0.0,0.0, 0.0, 0.0,0.0, 0.0, 8.0
2021, 6, BAOTQ, ユーザー　５, 11020-0002, 22, 20,概要設計,00, 8.0,0.0, 0.0, 0.0, 0.0,0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,0.0, 0.0, 0.0, 0.0, 0.0, 0.0,0.0, 0.0, 0.0,0.0,0.0, 0.0,0.0, 0.0, 0.0,0.0, 0.0, 8.0
2021, 6, BAOTQ, ユーザー　５, 11020-0002, 22, 20,客先面談・デモ・仕様打合せ,00, 8.0,0.0, 0.0, 0.0, 0.0,0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,0.0, 0.0, 0.0, 0.0, 0.0, 0.0,0.0, 0.0, 0.0,0.0,0.0, 0.0,0.0, 0.0, 0.0,0.0, 0.0, 8.0
2021, 6, BAOTQ, ユーザー　５, 11020-0002, 22, 20,概要設計,00, 8.0,0.0, 0.0, 0.0, 0.0,0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,0.0, 0.0, 0.0, 0.0, 0.0, 0.0,0.0, 0.0, 0.0,0.0,0.0, 0.0,0.0, 0.0, 0.0,0.0, 0.0, 8.0
2021, 6, BAOTQ, ユーザー　５, 11020-0002, 22, 20,客先面談・デモ・仕様打合せ,00, 8.0,0.0, 0.0, 0.0, 0.0,0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,0.0, 0.0, 0.0, 0.0, 0.0, 0.0,0.0, 0.0, 0.0,0.0,0.0, 0.0,0.0, 0.0, 0.0,0.0, 0.0, 8.0
2021, 6, BAOTQ, ユーザー　５, 11101-7641, 開発テーマ正式名称２, 10,システム分析,09, 8.0,0.0, 0.0, 0.0, 0.0,0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,0.0, 0.0, 0.0, 0.0, 0.0, 0.0,0.0, 0.0, 0.0,0.0,0.0, 0.0,0.0, 0.0, 0.0,0.0, 0.0, 8.0
